date,day_of_week,item,meal,prepared_qty,consumed_qty,waste_qty,waste_reason,stock_level,days_to_expiry,customer_count
2026-04-03,Friday,Vegetables,lunch,109,94,34.0,damaged,78,154,190
2026-04-04,Saturday,Bread,breakfast,44,39,19.0,preparation,63,153,90
2026-04-04,Saturday,Bread,dinner,58,49,19.0,preparation,63,153,130
2026-04-04,Saturday,Bread,lunch,52,47,19.0,preparation,63,153,114
2026-04-04,Saturday,Chicken,breakfast,68,64,37.0,spoilage,140,152,168
2026-04-04,Saturday,Chicken,dinner,119,102,37.0,spoilage,140,152,207
2026-04-04,Saturday,Chicken,lunch,139,123,37.0,spoilage,140,152,269
2026-04-04,Saturday,Rice,breakfast,151,131,119.0,overproduction,98,154,323
2026-04-04,Saturday,Rice,dinner,284,237,119.0,overproduction,98,154,720
2026-04-04,Saturday,Rice,lunch,346,294,119.0,overproduction,98,154,679
2026-04-04,Saturday,Spinach,breakfast,34,32,12.0,damaged,53,154,106
2026-04-04,Saturday,Spinach,dinner,52,46,12.0,damaged,53,154,134
2026-04-04,Saturday,Spinach,lunch,66,62,12.0,damaged,53,154,145
2026-04-04,Saturday,Vegetables,breakfast,57,49,45.0,overproduction,78,153,112
2026-04-04,Saturday,Vegetables,dinner,67,57,45.0,overproduction,78,153,146
2026-04-04,Saturday,Vegetables,lunch,165,138,45.0,overproduction,78,153,360
2026-04-05,Sunday,Bread,breakfast,52,46,37.0,overproduction,63,152,103
2026-04-05,Sunday,Bread,dinner,106,89,37.0,overproduction,63,152,238
2026-04-05,Sunday,Bread,lunch,127,113,37.0,overproduction,63,152,270
2026-04-05,Sunday,Chicken,breakfast,103,86,61.0,overproduction,140,151,229
2026-04-05,Sunday,Chicken,dinner,173,144,61.0,overproduction,140,151,376
2026-04-05,Sunday,Chicken,lunch,196,181,61.0,overproduction,140,151,547
2026-04-05,Sunday,Rice,breakfast,263,225,137.0,overproduction,98,153,529
2026-04-05,Sunday,Rice,dinner,372,340,137.0,overproduction,98,153,873
2026-04-05,Sunday,Rice,lunch,485,418,137.0,overproduction,98,153,908
2026-04-05,Sunday,Spinach,breakfast,44,39,23.0,overproduction,53,153,83
2026-04-05,Sunday,Spinach,dinner,61,55,23.0,overproduction,53,153,157
2026-04-05,Sunday,Spinach,lunch,81,69,23.0,overproduction,53,153,226
2026-04-05,Sunday,Vegetables,breakfast,99,90,35.0,overproduction,78,152,197
2026-04-05,Sunday,Vegetables,dinner,142,127,35.0,overproduction,78,152,325
2026-04-05,Sunday,Vegetables,lunch,166,155,35.0,overproduction,78,152,341
2026-04-06,Monday,Bread,breakfast,53,50,19.0,overproduction,63,151,136
2026-04-06,Monday,Bread,dinner,82,71,19.0,overproduction,63,151,153
2026-04-06,Monday,Bread,lunch,95,90,19.0,overproduction,63,151,297
2026-04-06,Monday,Chicken,breakfast,97,86,63.0,plate_waste,140,150,184
2026-04-06,Monday,Chicken,dinner,170,145,63.0,plate_waste,140,150,403
2026-04-06,Monday,Chicken,lunch,190,163,63.0,plate_waste,140,150,454
2026-04-06,Monday,Rice,breakfast,269,225,154.0,damaged,98,152,652
2026-04-06,Monday,Rice,dinner,375,316,154.0,damaged,98,152,916
2026-04-06,Monday,Rice,lunch,477,426,154.0,damaged,98,152,1012
2026-04-06,Monday,Spinach,breakfast,28,25,15.0,overproduction,53,152,51
2026-04-06,Monday,Spinach,dinner,46,41,15.0,overproduction,53,152,106
2026-04-06,Monday,Spinach,lunch,65,58,15.0,overproduction,53,152,128
2026-04-06,Monday,Vegetables,breakfast,65,60,34.0,damaged,78,151,167
2026-04-06,Monday,Vegetables,dinner,114,108,34.0,damaged,78,151,315
2026-04-06,Monday,Vegetables,lunch,156,133,34.0,damaged,78,151,347
2026-04-07,Tuesday,Bread,breakfast,43,41,30.0,overproduction,63,150,126
2026-04-07,Tuesday,Bread,dinner,113,97,30.0,overproduction,63,150,276
2026-04-07,Tuesday,Bread,lunch,88,76,30.0,overproduction,63,150,252
2026-04-07,Tuesday,Chicken,breakfast,119,102,60.0,plate_waste,140,149,289
2026-04-07,Tuesday,Chicken,dinner,181,153,60.0,plate_waste,140,149,404
2026-04-07,Tuesday,Chicken,lunch,178,163,60.0,plate_waste,140,149,392
2026-04-07,Tuesday,Rice,breakfast,252,225,92.0,overproduction,98,151,524
2026-04-07,Tuesday,Rice,dinner,367,348,92.0,overproduction,98,151,707
2026-04-07,Tuesday,Rice,lunch,454,408,92.0,overproduction,98,151,1014
2026-04-07,Tuesday,Spinach,breakfast,13,12,19.0,plate_waste,53,151,36
2026-04-07,Tuesday,Spinach,dinner,87,74,19.0,plate_waste,53,151,191
2026-04-07,Tuesday,Spinach,lunch,95,90,19.0,plate_waste,53,151,215
2026-04-07,Tuesday,Vegetables,breakfast,89,82,39.0,preparation,78,150,211
2026-04-07,Tuesday,Vegetables,dinner,118,110,39.0,preparation,78,150,227
2026-04-07,Tuesday,Vegetables,lunch,182,158,39.0,preparation,78,150,391
2026-04-08,Wednesday,Bread,breakfast,38,34,13.0,damaged,63,149,79
2026-04-08,Wednesday,Bread,dinner,83,78,13.0,damaged,63,149,187
2026-04-08,Wednesday,Bread,lunch,73,69,13.0,damaged,63,149,156
2026-04-08,Wednesday,Chicken,breakfast,105,88,53.0,overproduction,140,148,271
2026-04-08,Wednesday,Chicken,dinner,138,128,53.0,overproduction,140,148,272
2026-04-08,Wednesday,Chicken,lunch,224,198,53.0,overproduction,140,148,571
2026-04-08,Wednesday,Rice,breakfast,250,233,155.0,overproduction,98,150,470
2026-04-08,Wednesday,Rice,dinner,397,342,155.0,overproduction,98,150,703
2026-04-08,Wednesday,Rice,lunch,521,438,155.0,overproduction,98,150,887
2026-04-08,Wednesday,Spinach,breakfast,29,26,18.0,overproduction,53,150,75
2026-04-08,Wednesday,Spinach,dinner,53,45,18.0,overproduction,53,150,96
2026-04-08,Wednesday,Spinach,lunch,62,55,18.0,overproduction,53,150,125
2026-04-08,Wednesday,Vegetables,breakfast,62,54,33.0,overproduction,78,149,158
2026-04-08,Wednesday,Vegetables,dinner,122,116,33.0,overproduction,78,149,377
2026-04-08,Wednesday,Vegetables,lunch,190,171,33.0,overproduction,78,149,544
2026-04-09,Thursday,Bread,breakfast,58,52,29.0,plate_waste,63,148,120
2026-04-09,Thursday,Bread,dinner,82,71,29.0,plate_waste,63,148,150
2026-04-09,Thursday,Bread,lunch,96,84,29.0,plate_waste,63,148,216
2026-04-09,Thursday,Chicken,breakfast,106,94,49.0,plate_waste,140,147,261
2026-04-09,Thursday,Chicken,dinner,153,140,49.0,plate_waste,140,147,374
2026-04-09,Thursday,Chicken,lunch,206,182,49.0,plate_waste,140,147,500
2026-04-09,Thursday,Rice,breakfast,226,209,121.0,overproduction,98,149,613
2026-04-09,Thursday,Rice,dinner,327,303,121.0,overproduction,98,149,629
2026-04-09,Thursday,Rice,lunch,500,420,121.0,overproduction,98,149,898
2026-04-09,Thursday,Spinach,breakfast,31,29,19.0,overproduction,53,149,63
2026-04-09,Thursday,Spinach,dinner,64,56,19.0,overproduction,53,149,114
2026-04-09,Thursday,Spinach,lunch,56,47,19.0,overproduction,53,149,149
2026-04-09,Thursday,Vegetables,breakfast,100,86,50.0,damaged,78,148,263
2026-04-09,Thursday,Vegetables,dinner,107,93,50.0,damaged,78,148,189
2026-04-09,Thursday,Vegetables,lunch,185,163,50.0,damaged,78,148,450
2026-04-10,Friday,Bread,breakfast,41,37,11.0,overproduction,63,147,117
2026-04-10,Friday,Bread,dinner,58,55,11.0,overproduction,63,147,147
2026-04-10,Friday,Bread,lunch,72,68,11.0,overproduction,63,147,162
2026-04-10,Friday,Chicken,breakfast,76,65,39.0,spoilage,140,146,187
2026-04-10,Friday,Chicken,dinner,94,89,39.0,spoilage,140,146,234
2026-04-10,Friday,Chicken,lunch,157,134,39.0,spoilage,140,146,276
2026-04-10,Friday,Rice,breakfast,183,166,104.0,overproduction,98,148,340
2026-04-10,Friday,Rice,dinner,305,259,104.0,overproduction,98,148,715
2026-04-10,Friday,Rice,lunch,366,325,104.0,overproduction,98,148,663
2026-04-10,Friday,Spinach,breakfast,29,27,13.0,spoilage,53,148,57
2026-04-10,Friday,Spinach,dinner,28,26,13.0,spoilage,53,148,72
2026-04-10,Friday,Spinach,lunch,74,65,13.0,spoilage,53,148,144
2026-04-10,Friday,Vegetables,breakfast,65,59,33.0,overproduction,78,147,153
2026-04-10,Friday,Vegetables,dinner,80,68,33.0,overproduction,78,147,174
2026-04-10,Friday,Vegetables,lunch,127,112,33.0,overproduction,78,147,354
2026-04-11,Saturday,Bread,breakfast,39,33,17.0,preparation,63,146,79
2026-04-11,Saturday,Bread,dinner,54,48,17.0,preparation,63,146,99
2026-04-11,Saturday,Bread,lunch,64,59,17.0,preparation,63,146,135
2026-04-11,Saturday,Chicken,breakfast,63,59,40.0,overproduction,140,145,158
2026-04-11,Saturday,Chicken,dinner,121,109,40.0,overproduction,140,145,305
2026-04-11,Saturday,Chicken,lunch,154,130,40.0,overproduction,140,145,375
2026-04-11,Saturday,Rice,breakfast,184,169,100.0,overproduction,98,147,370
2026-04-11,Saturday,Rice,dinner,264,235,100.0,overproduction,98,147,676
2026-04-11,Saturday,Rice,lunch,382,326,100.0,overproduction,98,147,715
2026-04-11,Saturday,Spinach,breakfast,10,9,22.0,plate_waste,53,147,24
2026-04-11,Saturday,Spinach,dinner,75,63,22.0,plate_waste,53,147,207
2026-04-11,Saturday,Spinach,lunch,69,60,22.0,plate_waste,53,147,191
2026-04-11,Saturday,Vegetables,breakfast,58,55,24.0,overproduction,78,146,161
2026-04-11,Saturday,Vegetables,dinner,88,74,24.0,overproduction,78,146,240
2026-04-11,Saturday,Vegetables,lunch,104,97,24.0,overproduction,78,146,225
2026-04-12,Sunday,Bread,breakfast,49,45,15.0,spoilage,63,145,92
2026-04-12,Sunday,Bread,dinner,70,66,15.0,spoilage,63,145,137
2026-04-12,Sunday,Bread,lunch,110,103,15.0,spoilage,63,145,269
2026-04-12,Sunday,Chicken,breakfast,89,78,47.0,damaged,140,144,235
2026-04-12,Sunday,Chicken,dinner,161,151,47.0,damaged,140,144,366
2026-04-12,Sunday,Chicken,lunch,215,189,47.0,damaged,140,144,457
2026-04-12,Sunday,Rice,breakfast,264,228,145.0,overproduction,98,146,609
2026-04-12,Sunday,Rice,dinner,366,332,145.0,overproduction,98,146,701
2026-04-12,Sunday,Rice,lunch,547,472,145.0,overproduction,98,146,1014
2026-04-12,Sunday,Spinach,breakfast,25,22,10.0,overproduction,53,146,53
2026-04-12,Sunday,Spinach,dinner,59,55,10.0,overproduction,53,146,183
2026-04-12,Sunday,Spinach,lunch,57,54,10.0,overproduction,53,146,110
2026-04-12,Sunday,Vegetables,breakfast,89,80,42.0,damaged,78,145,165
2026-04-12,Sunday,Vegetables,dinner,165,141,42.0,damaged,78,145,378
2026-04-12,Sunday,Vegetables,lunch,136,127,42.0,damaged,78,145,403
2026-04-13,Monday,Bread,breakfast,66,58,27.0,overproduction,63,144,127
2026-04-13,Monday,Bread,dinner,80,67,27.0,overproduction,63,144,161
2026-04-13,Monday,Bread,lunch,101,95,27.0,overproduction,63,144,304
2026-04-13,Monday,Chicken,breakfast,96,83,41.0,overproduction,140,143,192
2026-04-13,Monday,Chicken,dinner,158,141,41.0,overproduction,140,143,404
2026-04-13,Monday,Chicken,lunch,173,162,41.0,overproduction,140,143,468
2026-04-13,Monday,Rice,breakfast,240,208,106.0,damaged,98,145,465
2026-04-13,Monday,Rice,dinner,402,381,106.0,damaged,98,145,1257
2026-04-13,Monday,Rice,lunch,484,431,106.0,damaged,98,145,1419
2026-04-13,Monday,Spinach,breakfast,23,21,14.0,overproduction,53,145,45
2026-04-13,Monday,Spinach,dinner,63,54,14.0,overproduction,53,145,117
2026-04-13,Monday,Spinach,lunch,29,26,14.0,overproduction,53,145,77
2026-04-13,Monday,Vegetables,breakfast,92,87,36.0,overproduction,78,144,206
2026-04-13,Monday,Vegetables,dinner,140,123,36.0,overproduction,78,144,285
2026-04-13,Monday,Vegetables,lunch,184,170,36.0,overproduction,78,144,366
2026-04-14,Tuesday,Bread,breakfast,39,36,25.0,plate_waste,63,143,100
2026-04-14,Tuesday,Bread,dinner,80,71,25.0,plate_waste,63,143,201
2026-04-14,Tuesday,Bread,lunch,118,105,25.0,plate_waste,63,143,302
2026-04-14,Tuesday,Chicken,breakfast,100,86,64.0,spoilage,140,142,227
2026-04-14,Tuesday,Chicken,dinner,169,152,64.0,spoilage,140,142,482
2026-04-14,Tuesday,Chicken,lunch,233,200,64.0,spoilage,140,142,572
2026-04-14,Tuesday,Rice,breakfast,241,215,160.0,overproduction,98,144,465
2026-04-14,Tuesday,Rice,dinner,402,348,160.0,overproduction,98,144,728
2026-04-14,Tuesday,Rice,lunch,536,456,160.0,overproduction,98,144,969
2026-04-14,Tuesday,Spinach,breakfast,31,29,23.0,overproduction,53,144,90
2026-04-14,Tuesday,Spinach,dinner,63,54,23.0,overproduction,53,144,128
2026-04-14,Tuesday,Spinach,lunch,72,60,23.0,overproduction,53,144,189
2026-04-14,Tuesday,Vegetables,breakfast,83,70,47.0,spoilage,78,143,164
2026-04-14,Tuesday,Vegetables,dinner,123,115,47.0,spoilage,78,143,243
2026-04-14,Tuesday,Vegetables,lunch,169,143,47.0,spoilage,78,143,395
2026-04-15,Wednesday,Bread,breakfast,53,47,26.0,overproduction,63,142,99
2026-04-15,Wednesday,Bread,dinner,69,62,26.0,overproduction,63,142,153
2026-04-15,Wednesday,Bread,lunch,102,89,26.0,overproduction,63,142,281
2026-04-15,Wednesday,Chicken,breakfast,103,90,60.0,damaged,140,141,238
2026-04-15,Wednesday,Chicken,dinner,148,137,60.0,damaged,140,141,304
2026-04-15,Wednesday,Chicken,lunch,230,194,60.0,damaged,140,141,394
2026-04-15,Wednesday,Rice,breakfast,256,222,133.0,plate_waste,98,143,589
2026-04-15,Wednesday,Rice,dinner,431,400,133.0,plate_waste,98,143,812
2026-04-15,Wednesday,Rice,lunch,494,426,133.0,plate_waste,98,143,997
2026-04-15,Wednesday,Spinach,breakfast,12,11,17.0,damaged,53,143,26
2026-04-15,Wednesday,Spinach,dinner,75,71,17.0,damaged,53,143,148
2026-04-15,Wednesday,Spinach,lunch,93,81,17.0,damaged,53,143,190
2026-04-15,Wednesday,Vegetables,breakfast,91,86,52.0,overproduction,78,142,245
2026-04-15,Wednesday,Vegetables,dinner,118,101,52.0,overproduction,78,142,259
2026-04-15,Wednesday,Vegetables,lunch,187,157,52.0,overproduction,78,142,339
2026-04-16,Thursday,Bread,breakfast,58,51,34.0,preparation,63,141,134
2026-04-16,Thursday,Bread,dinner,85,73,34.0,preparation,63,141,158
2026-04-16,Thursday,Bread,lunch,100,85,34.0,preparation,63,141,236
2026-04-16,Thursday,Chicken,breakfast,110,92,72.0,damaged,140,140,189
2026-04-16,Thursday,Chicken,dinner,175,149,72.0,damaged,140,140,375
2026-04-16,Thursday,Chicken,lunch,205,177,72.0,damaged,140,140,447
2026-04-16,Thursday,Rice,breakfast,239,210,144.0,overproduction,98,142,492
2026-04-16,Thursday,Rice,dinner,367,311,144.0,overproduction,98,142,660
2026-04-16,Thursday,Rice,lunch,500,441,144.0,overproduction,98,142,1048
2026-04-16,Thursday,Spinach,breakfast,43,39,26.0,overproduction,53,142,93
2026-04-16,Thursday,Spinach,dinner,70,61,26.0,overproduction,53,142,125
2026-04-16,Thursday,Spinach,lunch,97,84,26.0,overproduction,53,142,231
2026-04-16,Thursday,Vegetables,breakfast,90,78,56.0,damaged,78,141,161
2026-04-16,Thursday,Vegetables,dinner,160,138,56.0,damaged,78,141,428
2026-04-16,Thursday,Vegetables,lunch,175,153,56.0,damaged,78,141,444
2026-04-17,Friday,Bread,breakfast,35,31,10.0,damaged,63,140,70
2026-04-17,Friday,Bread,dinner,57,54,10.0,damaged,63,140,159
2026-04-17,Friday,Bread,lunch,58,55,10.0,damaged,63,140,111
2026-04-17,Friday,Chicken,breakfast,88,77,41.0,spoilage,140,139,197
2026-04-17,Friday,Chicken,dinner,84,77,41.0,spoilage,140,139,199
2026-04-17,Friday,Chicken,lunch,185,162,41.0,spoilage,140,139,324
2026-04-17,Friday,Rice,breakfast,172,149,69.0,overproduction,98,141,328
2026-04-17,Friday,Rice,dinner,240,219,69.0,overproduction,98,141,466
2026-04-17,Friday,Rice,lunch,326,301,69.0,overproduction,98,141,763
2026-04-17,Friday,Spinach,breakfast,44,37,23.0,plate_waste,53,141,103
2026-04-17,Friday,Spinach,dinner,37,32,23.0,plate_waste,53,141,84
2026-04-17,Friday,Spinach,lunch,72,61,23.0,plate_waste,53,141,142
2026-04-17,Friday,Vegetables,breakfast,88,76,40.0,damaged,78,140,239
2026-04-17,Friday,Vegetables,dinner,84,71,40.0,damaged,78,140,157
2026-04-17,Friday,Vegetables,lunch,131,116,40.0,damaged,78,140,332
2026-04-18,Saturday,Bread,breakfast,42,37,15.0,spoilage,63,139,84
2026-04-18,Saturday,Bread,dinner,70,66,15.0,spoilage,63,139,133
2026-04-18,Saturday,Bread,lunch,98,92,15.0,spoilage,63,139,197
2026-04-18,Saturday,Chicken,breakfast,62,57,32.0,overproduction,140,138,137
2026-04-18,Saturday,Chicken,dinner,117,110,32.0,overproduction,140,138,303
2026-04-18,Saturday,Chicken,lunch,169,149,32.0,overproduction,140,138,426
2026-04-18,Saturday,Rice,breakfast,168,158,66.0,overproduction,98,140,340
2026-04-18,Saturday,Rice,dinner,241,205,66.0,overproduction,98,140,634
2026-04-18,Saturday,Rice,lunch,345,325,66.0,overproduction,98,140,923
2026-04-18,Saturday,Spinach,breakfast,13,11,16.0,overproduction,53,140,28
2026-04-18,Saturday,Spinach,dinner,32,30,16.0,overproduction,53,140,62
2026-04-18,Saturday,Spinach,lunch,74,62,16.0,overproduction,53,140,133
2026-04-18,Saturday,Vegetables,breakfast,54,46,29.0,overproduction,78,139,151
2026-04-18,Saturday,Vegetables,dinner,83,76,29.0,overproduction,78,139,180
2026-04-18,Saturday,Vegetables,lunch,115,101,29.0,overproduction,78,139,250
2026-04-19,Sunday,Bread,breakfast,48,44,27.0,overproduction,63,138,126
2026-04-19,Sunday,Bread,dinner,87,77,27.0,overproduction,63,138,156
2026-04-19,Sunday,Bread,lunch,89,76,27.0,overproduction,63,138,177
2026-04-19,Sunday,Chicken,breakfast,110,94,66.0,overproduction,140,137,199
2026-04-19,Sunday,Chicken,dinner,147,134,66.0,overproduction,140,137,340
2026-04-19,Sunday,Chicken,lunch,232,195,66.0,overproduction,140,137,443
2026-04-19,Sunday,Rice,breakfast,258,228,113.0,overproduction,98,139,477
2026-04-19,Sunday,Rice,dinner,392,353,113.0,overproduction,98,139,1136
2026-04-19,Sunday,Rice,lunch,489,445,113.0,overproduction,98,139,982
2026-04-19,Sunday,Spinach,breakfast,39,36,22.0,plate_waste,53,139,112
2026-04-19,Sunday,Spinach,dinner,55,50,22.0,plate_waste,53,139,107
2026-04-19,Sunday,Spinach,lunch,98,84,22.0,plate_waste,53,139,249
2026-04-19,Sunday,Vegetables,breakfast,85,76,43.0,preparation,78,138,161
2026-04-19,Sunday,Vegetables,dinner,137,122,43.0,preparation,78,138,401
2026-04-19,Sunday,Vegetables,lunch,175,156,43.0,preparation,78,138,412
2026-04-20,Monday,Bread,breakfast,52,44,26.0,damaged,63,137,127
2026-04-20,Monday,Bread,dinner,82,70,26.0,damaged,63,137,148
2026-04-20,Monday,Bread,lunch,80,74,26.0,damaged,63,137,154
2026-04-20,Monday,Chicken,breakfast,96,87,65.0,overproduction,140,136,227
2026-04-20,Monday,Chicken,dinner,155,133,65.0,overproduction,140,136,379
2026-04-20,Monday,Chicken,lunch,226,192,65.0,overproduction,140,136,389
2026-04-20,Monday,Rice,breakfast,238,212,141.0,plate_waste,98,138,538
2026-04-20,Monday,Rice,dinner,380,346,141.0,plate_waste,98,138,1136
2026-04-20,Monday,Rice,lunch,532,451,141.0,plate_waste,98,138,1404
2026-04-20,Monday,Spinach,breakfast,41,38,13.0,damaged,53,138,104
2026-04-20,Monday,Spinach,dinner,43,38,13.0,damaged,53,138,92
2026-04-20,Monday,Spinach,lunch,83,78,13.0,damaged,53,138,195
2026-04-20,Monday,Vegetables,breakfast,76,67,33.0,damaged,78,137,149
2026-04-20,Monday,Vegetables,dinner,128,120,33.0,damaged,78,137,391
2026-04-20,Monday,Vegetables,lunch,158,142,33.0,damaged,78,137,355
2026-04-21,Tuesday,Bread,breakfast,57,48,26.0,damaged,63,136,100
2026-04-21,Tuesday,Bread,dinner,93,83,26.0,damaged,63,136,200
2026-04-21,Tuesday,Bread,lunch,116,109,26.0,damaged,63,136,241
2026-04-21,Tuesday,Chicken,breakfast,106,89,61.0,overproduction,140,135,213
2026-04-21,Tuesday,Chicken,dinner,155,139,61.0,overproduction,140,135,451
2026-04-21,Tuesday,Chicken,lunch,208,180,61.0,overproduction,140,135,411
2026-04-21,Tuesday,Rice,breakfast,243,221,79.0,overproduction,98,137,478
2026-04-21,Tuesday,Rice,dinner,332,315,79.0,overproduction,98,137,837
2026-04-21,Tuesday,Rice,lunch,485,445,79.0,overproduction,98,137,1097
2026-04-21,Tuesday,Spinach,breakfast,24,22,17.0,damaged,53,137,53
2026-04-21,Tuesday,Spinach,dinner,53,45,17.0,damaged,53,137,132
2026-04-21,Tuesday,Spinach,lunch,71,64,17.0,damaged,53,137,159
2026-04-21,Tuesday,Vegetables,breakfast,79,66,54.0,damaged,78,136,216
2026-04-21,Tuesday,Vegetables,dinner,142,124,54.0,damaged,78,136,351
2026-04-21,Tuesday,Vegetables,lunch,161,138,54.0,damaged,78,136,375
2026-04-22,Wednesday,Bread,breakfast,52,48,31.0,overproduction,63,135,140
2026-04-22,Wednesday,Bread,dinner,86,74,31.0,overproduction,63,135,156
2026-04-22,Wednesday,Bread,lunch,97,82,31.0,overproduction,63,135,168
2026-04-22,Wednesday,Chicken,breakfast,119,103,45.0,overproduction,140,134,212
2026-04-22,Wednesday,Chicken,dinner,169,156,45.0,overproduction,140,134,478
2026-04-22,Wednesday,Chicken,lunch,211,195,45.0,overproduction,140,134,540
2026-04-22,Wednesday,Rice,breakfast,245,209,132.0,damaged,98,136,666
2026-04-22,Wednesday,Rice,dinner,350,322,132.0,damaged,98,136,768
2026-04-22,Wednesday,Rice,lunch,482,414,132.0,damaged,98,136,883
2026-04-22,Wednesday,Spinach,breakfast,8,7,14.0,overproduction,53,136,14
2026-04-22,Wednesday,Spinach,dinner,40,34,14.0,overproduction,53,136,94
2026-04-22,Wednesday,Spinach,lunch,54,47,14.0,overproduction,53,136,104
2026-04-22,Wednesday,Vegetables,breakfast,86,74,30.0,overproduction,78,135,228
2026-04-22,Wednesday,Vegetables,dinner,111,105,30.0,overproduction,78,135,244
2026-04-22,Wednesday,Vegetables,lunch,159,147,30.0,overproduction,78,135,316
2026-04-23,Thursday,Bread,breakfast,51,47,25.0,overproduction,63,134,103
